Fecha y hora;Nombre;Epicentro;Zonas afectadas;Ms;Mw;MM;Tsunami;Muertos
14 de noviembre de 2007 (12:40);Tocopilla de 2007;-22.314, -70.078;I y II regiones;7,512_;7,713_;VIII;AD;2
4 de febrero de 2008 (14:01);Iquique de 2008;-20.166, -70.037;XV, I y II regiones;6,3 Solo MW;6,385_;VII86_;—;0
13 de noviembre de 2009 (00:05);Iquique de 2009;-19.394, -70.321;XV, I y II regiones;6,5 Solo MW;6,587_;VII88_;—;0
27 de febrero de 2010 (03:34);Cauquenes de 2010;-36.290, -73.239;IV, V, VI, VII, XVI, VIII, IX, X, XIV regiones y R.M.;8,512_;8,813_;IX;T;521
11 de marzo de 2010 (11:39);Pichilemu de 2010;-34.259, -71.929;V, VI, VII, XVI y VIII regiones y R.M.;6,989_;6,390_;VII;;2
2 de enero de 2011 (17:20);Tirúa de 2011;-38.350, -73.270;VIII y IX regiones;6,991_;7,292_;VII;;0
25 de marzo de 2012 (19:37);Constitución de 2012;-35.120, -72.130;V a VIII regiones;6,893_;7,194_;VIII;;2
17 de abril de 2012 (00:50);Zapallar de 2012;-32.625, -71.365;IV, V, VI, VII regiones y R.M.;6,7 Solo MW;6,795_;VII;AD;2
30 de enero de 2013 (17:15);Vallenar de 2013;-28.060, -70.840;III a VIII regiones;6,796_;6,897_98_;VI;—;1
16 de marzo de 2014 (18:16);Iquique de 2014;-19.960, -70.810;XV, I y II regiones;6,799_;7,0100_;VII;AD;0
1 de abril de 2014 (20:46);Iquique de 2014;-19.630, -70.860;XV, I y II regiones;8,2 Solo MW;8,2101_102_;IX;T;7
2 de abril de 2014 (23:43);Iquique de 2014;-20.545, -70.418;XV, I, II y III regiones;7,7 Solo MW;7,7103_;IX;AD;0
8 de octubre de 2014 (21:14);Isla de Pascua de 2014;-32.110, -110.770;V región;7,1 Solo MW;7,1104_;I;AD-mT;0
16 de septiembre de 2015 (19:54);Coquimbo de 2015;-31.535, -71.919;III, IV, V, VI, VII, XVI, VIII, IX regiones y R.M.;8,4 Solo MW;8,4105_;IX;T;15
25 de diciembre de 2016 (11:22);Chiloé de 2016;-43.517, -74.391;VIII, IX, XIV, X y XI regiones;7,6 Solo MW;7,6106_;VIII;AD-mT;0
24 de abril de 2017 (18:38);Valparaíso de 2017;-33.070, -72.382;IV, V, VI, VII, XVI, VIII regiones y R.M.;6,9 Solo MW;6,9107_;VII;mT;0
19 de enero de 2019 (22:32);Coquimbo de 2019;-30.276, -71.364;III, IV, V, VI y R.M.;6,7 Solo MW;6,7108_;VIII;AD;2
17 de julio de 2020 (01:40);Iquique de 2020;-20.235, -70.140;XV, I y II regiones;5,9 Solo MW;5,9109_;VII110_;—;0
1 de septiembre de 2020 (00:09);Vallenar de 2020;-27.960, -71.240;II, III, IV, V regiones y R.M.;7,0 Solo MW;7,0111_;VII;—;0
23 de enero de 2021 (20:36);Shetland del Sur de 2021;-61.900, -55.000;XII región;7,1 Solo MW;7,1112_;;AD;0
